skill,recipe_key,recipe_name,unlock_at,difficulty,xp_multiplier,station,csv_path
skill_cooking,recipe_item_material_animal_lard,recipe_item_material_animal_lard,0,5,1.1,,skill_cooking\recipe_item_material_animal_lard.csv
skill_cooking,recipe_item_material_animal_tallow,recipe_item_material_animal_tallow,0,4,1.0,,skill_cooking\recipe_item_material_animal_tallow.csv
skill_tailoring,recipe_item_material_crafting_sewing_needles,recipe_item_material_crafting_sewing_needles,0,2,1.0,,skill_tailoring\recipe_item_material_crafting_sewing_needles.csv
skill_building,recipe_item_material_straw,recipe_item_material_straw,3,7,1.2,,skill_building\recipe_item_material_straw.csv
skill_building,recipe_item_material_wood_beams,recipe_item_material_wood_beams,0,5,1.1,,skill_building\recipe_item_material_wood_beams.csv
skill_building,recipe_item_material_wood_beams_fine,recipe_item_material_wood_beams_fine,7,17,1.7,,skill_building\recipe_item_material_wood_beams_fine.csv
skill_building,recipe_item_material_wood_long_stock,recipe_item_material_wood_long_stock,0,6,1.1,,skill_building\recipe_item_material_wood_long_stock.csv
skill_building,recipe_item_material_wood_long_stock_fine,recipe_item_material_wood_long_stock_fine,10,23,2.2,,skill_building\recipe_item_material_wood_long_stock_fine.csv
skill_building,recipe_item_material_wood_planks,recipe_item_material_wood_planks,0,3,1.0,,skill_building\recipe_item_material_wood_planks.csv
skill_building,recipe_item_material_wood_planks_fine,recipe_item_material_wood_planks_fine,8,19,1.9,,skill_building\recipe_item_material_wood_planks_fine.csv
skill_fletching,recipe_projectile_bronze_head_arrow,recipe_projectile_bronze_head_arrow,3,7,1.2,,skill_fletching\recipe_projectile_bronze_head_arrow.csv
skill_fletching,recipe_projectile_flint_head_arrow,recipe_projectile_flint_head_arrow,2,5,1.1,,skill_fletching\recipe_projectile_flint_head_arrow.csv
skill_fletching,recipe_projectile_iron_head_arrow,recipe_projectile_iron_head_arrow,4,9,1.3,,skill_fletching\recipe_projectile_iron_head_arrow.csv
skill_fletching,recipe_projectile_silver_head_arrow,recipe_projectile_silver_head_arrow,16,30,3.0,,skill_fletching\recipe_projectile_silver_head_arrow.csv
skill_fletching,recipe_projectile_steel_head_arrow,recipe_projectile_steel_head_arrow,17,31,3.1,,skill_fletching\recipe_projectile_steel_head_arrow.csv
skill_fletching,recipe_projectile_wood_arrow,recipe_projectile_wood_arrow,0,2,1.0,,skill_fletching\recipe_projectile_wood_arrow.csv
skill_fletching,recipe_projectile_wrought_iron_head_arrow,recipe_projectile_wrought_iron_head_arrow,6,14,1.6,,skill_fletching\recipe_projectile_wrought_iron_head_arrow.csv
skill_charcuterie,recipe_item_material_rough_meat_chunks,recipe_item_material_rough_meat_chunks,0,4,1.0,,skill_charcuterie\recipe_item_material_rough_meat_chunks.csv
skill_charcuterie,recipe_item_material_rough_meat_stripes,recipe_item_material_rough_meat_stripes,3,6,1.1,,skill_charcuterie\recipe_item_material_rough_meat_stripes.csv
skill_baking,recipe_item_material_dough_rye,recipe_item_material_dough_rye,0,3,1.1,,skill_baking\recipe_item_material_dough_rye.csv
skill_baking,recipe_item_material_dough_wheat,recipe_item_material_dough_wheat,9,21,2.2,,skill_baking\recipe_item_material_dough_wheat.csv
skill_baking,recipe_item_material_dough_barley,recipe_item_material_dough_barley,0,6,1.2,,skill_baking\recipe_item_material_dough_barley.csv
skill_baking,recipe_item_material_dough_oat,recipe_item_material_dough_oat,6,13,1.6,,skill_baking\recipe_item_material_dough_oat.csv
skill_cooking,recipe_activatable_drink_barley_water_staminaregen_3,recipe_activatable_drink_barley_water_staminaregen_3,0,4,1.1,,skill_cooking\recipe_activatable_drink_barley_water_staminaregen_3.csv
skill_cooking,recipe_activatable_drink_barley_water_staminaregen_15,recipe_activatable_drink_barley_water_staminaregen_15,3,7,1.3,,skill_cooking\recipe_activatable_drink_barley_water_staminaregen_15.csv
skill_cooking,recipe_activatable_drink_barley_water_staminaregen_23,recipe_activatable_drink_barley_water_staminaregen_23,5,11,1.5,,skill_cooking\recipe_activatable_drink_barley_water_staminaregen_23.csv
skill_cooking,recipe_activatable_drink_herbal_tea_hpregen_1,recipe_activatable_drink_herbal_tea_hpregen_1,9,22,2.3,,skill_cooking\recipe_activatable_drink_herbal_tea_hpregen_1.csv
skill_cooking,recipe_activatable_drink_herbal_tea_maxhp_4,recipe_activatable_drink_herbal_tea_maxhp_4,13,26,2.7,,skill_cooking\recipe_activatable_drink_herbal_tea_maxhp_4.csv
skill_cooking,recipe_activatable_drink_herbal_tea_maxhp_9,recipe_activatable_drink_herbal_tea_maxhp_9,17,31,3.3,,skill_cooking\recipe_activatable_drink_herbal_tea_maxhp_9.csv
skill_cooking,recipe_activatable_drink_herbal_tea_hpregen_12,recipe_activatable_drink_herbal_tea_hpregen_12,20,35,3.9,,skill_cooking\recipe_activatable_drink_herbal_tea_hpregen_12.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_6,recipe_activatable_drink_sirup_hpregen_6,6,14,1.6,,skill_cooking\recipe_activatable_drink_sirup_hpregen_6.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_13,recipe_activatable_drink_sirup_hpregen_13,8,18,1.9,,skill_cooking\recipe_activatable_drink_sirup_hpregen_13.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_20,recipe_activatable_drink_sirup_hpregen_20,10,23,2.3,,skill_cooking\recipe_activatable_drink_sirup_hpregen_20.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_33,recipe_activatable_drink_sirup_hpregen_33,14,28,2.8,,skill_cooking\recipe_activatable_drink_sirup_hpregen_33.csv
skill_cooking,recipe_activatable_drink_sirup_staminaregen_35,recipe_activatable_drink_sirup_staminaregen_35,20,34,3.5,,skill_cooking\recipe_activatable_drink_sirup_staminaregen_35.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_44,recipe_activatable_drink_sirup_hpregen_44,23,38,4.1,,skill_cooking\recipe_activatable_drink_sirup_hpregen_44.csv
skill_cooking,recipe_activatable_foodcooked_porridge_hpregen_27,recipe_activatable_foodcooked_porridge_hpregen_27,13,27,2.9,,skill_cooking\recipe_activatable_foodcooked_porridge_hpregen_27.csv
skill_cooking,recipe_activatable_foodcooked_porridge_resistancebuff_31,recipe_activatable_foodcooked_porridge_resistancebuff_31,18,32,3.6,,skill_cooking\recipe_activatable_foodcooked_porridge_resistancebuff_31.csv
skill_cooking,recipe_activatable_foodcooked_porridge_resistancebuff_45,recipe_activatable_foodcooked_porridge_resistancebuff_45,22,37,4.6,,skill_cooking\recipe_activatable_foodcooked_porridge_resistancebuff_45.csv
skill_cooking,recipe_activatable_foodcooked_grilled_meat_maxhp_25,recipe_activatable_foodcooked_grilled_meat_maxhp_25,4,9,1.3,,skill_cooking\recipe_activatable_foodcooked_grilled_meat_maxhp_25.csv
skill_charcuterie,recipe_activatable_foodcooked_roast_damagebuff_4,recipe_activatable_foodcooked_roast_damagebuff_4,0,6,1.2,,skill_charcuterie\recipe_activatable_foodcooked_roast_damagebuff_4.csv
skill_charcuterie,recipe_activatable_foodcooked_roast_damagebuff_13,recipe_activatable_foodcooked_roast_damagebuff_13,6,13,1.6,,skill_charcuterie\recipe_activatable_foodcooked_roast_damagebuff_13.csv
skill_charcuterie,recipe_activatable_foodcooked_roast_maxstamina_16,recipe_activatable_foodcooked_roast_maxstamina_16,6,14,1.7,,skill_charcuterie\recipe_activatable_foodcooked_roast_maxstamina_16.csv
skill_charcuterie,recipe_activatable_foodcooked_roast_damagebuff_24,recipe_activatable_foodcooked_roast_damagebuff_24,8,19,2.1,,skill_charcuterie\recipe_activatable_foodcooked_roast_damagebuff_24.csv
skill_charcuterie,recipe_activatable_foodcooked_roast_damagebuff_35,recipe_activatable_foodcooked_roast_damagebuff_35,12,25,2.6,,skill_charcuterie\recipe_activatable_foodcooked_roast_damagebuff_35.csv
skill_charcuterie,recipe_activatable_foodcooked_roast_maxstamina_38,recipe_activatable_foodcooked_roast_maxstamina_38,13,27,2.8,,skill_charcuterie\recipe_activatable_foodcooked_roast_maxstamina_38.csv
skill_charcuterie,recipe_activatable_foodcooked_roast_damagebuff_42,recipe_activatable_foodcooked_roast_damagebuff_42,17,31,3.3,,skill_charcuterie\recipe_activatable_foodcooked_roast_damagebuff_42.csv
skill_charcuterie,recipe_activatable_foodcooked_sausage_hpregen_9,recipe_activatable_foodcooked_sausage_hpregen_9,0,8,1.3,,skill_charcuterie\recipe_activatable_foodcooked_sausage_hpregen_9.csv
skill_charcuterie,recipe_activatable_foodcooked_sausage_hpregen_19,recipe_activatable_foodcooked_sausage_hpregen_19,7,17,2.0,,skill_charcuterie\recipe_activatable_foodcooked_sausage_hpregen_19.csv
skill_charcuterie,recipe_activatable_foodcooked_sausage_staminaregen_33,recipe_activatable_foodcooked_sausage_staminaregen_33,11,24,2.6,,skill_charcuterie\recipe_activatable_foodcooked_sausage_staminaregen_33.csv
skill_charcuterie,recipe_activatable_foodcooked_sausage_staminaregen_40,recipe_activatable_foodcooked_sausage_staminaregen_40,16,30,3.3,,skill_charcuterie\recipe_activatable_foodcooked_sausage_staminaregen_40.csv
skill_charcuterie,recipe_activatable_foodcooked_sausage_maxstamina_48,recipe_activatable_foodcooked_sausage_maxstamina_48,20,34,3.9,,skill_charcuterie\recipe_activatable_foodcooked_sausage_maxstamina_48.csv
skill_cooking,recipe_activatable_foodcooked_raisins_staminaregen_6,recipe_activatable_foodcooked_raisins_staminaregen_6,19,33,3.2,,skill_cooking\recipe_activatable_foodcooked_raisins_staminaregen_6.csv
skill_cooking,recipe_activatable_foodcooked_stew_staminaregen_12,recipe_activatable_foodcooked_stew_staminaregen_12,7,16,1.9,,skill_cooking\recipe_activatable_foodcooked_stew_staminaregen_12.csv
skill_cooking,recipe_activatable_foodcooked_stew_resistancebuff_17,recipe_activatable_foodcooked_stew_resistancebuff_17,9,21,2.3,,skill_cooking\recipe_activatable_foodcooked_stew_resistancebuff_17.csv
skill_cooking,recipe_activatable_foodcooked_stew_resistancebuff_29,recipe_activatable_foodcooked_stew_resistancebuff_29,12,25,2.7,,skill_cooking\recipe_activatable_foodcooked_stew_resistancebuff_29.csv
skill_cooking,recipe_activatable_foodcooked_stew_staminaregen_32,recipe_activatable_foodcooked_stew_staminaregen_32,16,30,3.3,,skill_cooking\recipe_activatable_foodcooked_stew_staminaregen_32.csv
skill_cooking,recipe_activatable_foodcooked_stew_staminaregen_39,recipe_activatable_foodcooked_stew_staminaregen_39,21,36,4.4,,skill_cooking\recipe_activatable_foodcooked_stew_staminaregen_39.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_maxstamina_2,recipe_activatable_foodcooked_vegetable_stew_maxstamina_2,6,12,1.6,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_maxstamina_2.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_maxstamina_8,recipe_activatable_foodcooked_vegetable_stew_maxstamina_8,7,15,1.9,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_maxstamina_8.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_staminaregen_11,recipe_activatable_foodcooked_vegetable_stew_staminaregen_11,8,19,2.2,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_staminaregen_11.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_staminaregen_21,recipe_activatable_foodcooked_vegetable_stew_staminaregen_21,11,24,2.7,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_staminaregen_21.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_maxstamina_26,recipe_activatable_foodcooked_vegetable_stew_maxstamina_26,15,29,3.3,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_maxstamina_26.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_very_small_16,recipe_activatable_potion_arcance_resistance_very_small_16,0,13,1.6,,skill_alchemy\recipe_activatable_potion_arcance_resistance_very_small_16.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_very_small_23,recipe_activatable_potion_arcance_resistance_very_small_23,0,16,1.8,,skill_alchemy\recipe_activatable_potion_arcance_resistance_very_small_23.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_very_small_30,recipe_activatable_potion_arcance_resistance_very_small_30,0,19,2.1,,skill_alchemy\recipe_activatable_potion_arcance_resistance_very_small_30.csv
